state,year,support,fte,cpi_u_rs,cpi_u_rs_2019_adj,real_support_fte
Tennessee,2019,1924836726,185912.35,376.5,1,10353.463478892068
Texas,2019,7577802811,1066707,376.5,1,7103.92151828009
Utah,2019,1113971200,128130,376.5,1,8694.07008506985
Vermont,2019,96188297,20458,376.5,1,4701.7448919738
Virginia,2019,2120468204,304997,376.5,1,6952.423151703131
Washington,2019,2037367000,235292,376.5,1,8658.88767998912
West Virginia,2019,491888995,66577,376.5,1,7388.272151043153
Wisconsin,2019,1573280133,209403,376.5,1,7513.169023366428
Wyoming,2019,384799235,22194.1,376.5,1,17337.90669592369
U.S.,2019,92130005508,10934889.98,376.5,1,8425.32532805602
District of Columbia,2019,87353491,3518,376.5,1,24830.440875497443
Alabama,2018,1599326154,202506,369.8,1.0181179015684154,8040.7621889423735
Alaska,2018,343870898,17555.26,369.8,1.0181179015684154,19942.80444050425
Arizona,2018,875132900,290816,369.8,1.0181179015684154,3063.7532726585946
Arkansas,2018,982187681,114664,369.8,1.0181179015684154,8720.983575717473
California,2018,14432398000,1553164,369.8,1.0181179015684154,9460.612508634114
Colorado,2018,894743710,183875,369.8,1.0181179015684154,4954.20578363964
Connecticut,2018,1097667519,86008,369.8,1.0181179015684154,12993.616303879742
Delaware,2018,237069500,36073,369.8,1.0181179015684154,6691.007176167035
Florida,2018,5037744202,602675,369.8,1.0181179015684154,8510.420302117545
Georgia,2018,3443626402,350448,369.8,1.0181179015684154,10004.387772764669
Hawaii,2018,716718368,36030,369.8,1.0181179015684154,20252.672796106006
Idaho,2018,478997900,53570,369.8,1.0181179015684154,9103.53438125215
Illinois,2018,4141275358,319582,369.8,1.0181179015684154,13193.191660681605
Indiana,2018,1773727687,247677.78,369.8,1.0181179015684154,7291.182562449643
Iowa,2018,804642010,125333,369.8,1.0181179015684154,6536.350639775573
Kansas,2018,772091220,133815,369.8,1.0181179015684154,5874.378004900779
Kentucky,2018,1173159100,144747,369.8,1.0181179015684154,8251.737729264793
Louisiana,2018,1159690661,161670.45,369.8,1.0181179015684154,7303.13933217733
Maine,2018,303051904,33945,369.8,1.0181179015684154,9089.48500712308
Maryland,2018,1991588780,231761,369.8,1.0181179015684154,8748.97929108349
Massachusetts,2018,1564337918,163673,369.8,1.0181179015684154,9730.86849033172
Michigan,2018,1917024500,372073,369.8,1.0181179015684154,5245.629113628886
Minnesota,2018,1653249000,187705,369.8,1.0181179015684154,8967.275259849665
Mississippi,2018,900155014,130279,369.8,1.0181179015684154,7034.625180880784
Missouri,2018,988536584,186862,369.8,1.0181179015684154,5386.04313624862
Montana,2018,241493606,37371,369.8,1.0181179015684154,6579.137924671796
Nebraska,2018,745710158,76792,369.8,1.0181179015684154,9886.718163887013
Nevada,2018,622021005,70437,369.8,1.0181179015684154,8990.881501797021
New Hampshire,2018,127935617,37643,369.8,1.0181179015684154,3460.2327634859203
New Jersey,2018,2065933000,264441,369.8,1.0181179015684154,7953.998701944635
New Mexico,2018,836246000,83746.5,369.8,1.0181179015684154,10166.359462365366
New York,2018,5931007406,546831,369.8,1.0181179015684154,11042.652692300639
North Carolina,2018,4086567077,392138,369.8,1.0181179015684154,10610.05844129825
North Dakota,2018,358491256,34969,369.8,1.0181179015684154,10437.426443116636
Ohio,2018,2300904761,387109,369.8,1.0181179015684154,6051.505717971157
Oklahoma,2018,824226487,131083,369.8,1.0181179015684154,6401.743485894791
Oregon,2018,839939382,140410,369.8,1.0181179015684154,6090.43031868465
Pennsylvania,2018,1713363000,344494,369.8,1.0181179015684154,5063.67467121333
Rhode Island,2018,199553587,30316,369.8,1.0181179015684154,6701.711282718374
South Carolina,2018,1097979545,164401.92,369.8,1.0181179015684154,6799.632451497182
South Dakota,2018,234058232,32898.8,369.8,1.0181179015684154,7243.391126991055
Tennessee,2018,1844857699,184975.57,369.8,1.0181179015684154,10154.220090783961
Texas,2018,7493114733,1052885,369.8,1.0181179015684154,7245.686136827229
Utah,2018,1029936100,125550,369.8,1.0181179015684154,8352.022149594248
Vermont,2018,95533067,20583,369.8,1.0181179015684154,4725.449434214393
Virginia,2018,2013572522,303300,369.8,1.0181179015684154,6759.163306147254
Washington,2018,1906810000,237289,369.8,1.0181179015684154,8181.404936131343
West Virginia,2018,470910031,68746,369.8,1.0181179015684154,6974.106603864042
Wisconsin,2018,1509157200,211610,369.8,1.0181179015684154,7260.998826146521
Wyoming,2018,373759707,22699,369.8,1.0181179015684154,16764.238450225377
U.S.,2018,88245094148,10969226.28,369.8,1.0181179015684154,8190.542138918209
District of Columbia,2018,78180000,3568,369.8,1.0181179015684154,22308.424199724974
Alabama,2017,1567347574,198619,361,1.0429362880886426,8230.046777862637
Alaska,2017,352480708,18492.23,361,1.0429362880886426,19879.426181935694
Arizona,2017,860387400,286335,361,1.0429362880886426,3133.844068221622
Arkansas,2017,974615738,114976,361,1.0429362880886426,8840.64604876229
California,2017,13562573000,1536241,361,1.0429362880886426,9207.474310053725
Colorado,2017,869271013,182212,361,1.0429362880886426,4975.49164512367
Connecticut,2017,1152055154,90404,361,1.0429362880886426,13290.56375808758
Delaware,2017,234722700,35554,361,1.0429362880886426,6885.3243367312825
Florida,2017,4537335069,597293,361,1.0429362880886426,7922.663407535808
Georgia,2017,3210406736,347479,361,1.0429362880886426,9635.833199987956
Hawaii,2017,667478019,36827,361,1.0429362880886426,18902.898621028606
Idaho,2017,460323000,53116,361,1.0429362880886426,9038.47354736479
Illinois,2017,4546523441,330668,361,1.0429362880886426,14339.864399532287
Indiana,2017,1745379182,248664,361,1.0429362880886426,7320.397344940447
Iowa,2017,829402839,126555,361,1.0429362880886426,6835.086075120241
Kansas,2017,769175109,134716,361,1.0429362880886426,5954.75394957271
Kentucky,2017,1170767200,147167,361,1.0429362880886426,8296.938836722455
Louisiana,2017,1083387063,160056.83,361,1.0429362880886426,7059.390605502286
Maine,2017,301740529,34287,361,1.0429362880886426,9178.29344302982
Maryland,2017,1963481407,232963,361,1.0429362880886426,8790.17702531151
Massachusetts,2017,1544319564,165736,361,1.0429362880886426,9718.026944663989
Michigan,2017,1877039600,378402,361,1.0429362880886426,5173.420629434809
Minnesota,2017,1543313000,189951,361,1.0429362880886426,8473.64389542012
Mississippi,2017,1013678408,130623,361,1.0429362880886426,8093.536330930422
Missouri,2017,1011797327,195255,361,1.0429362880886426,5404.420621850352
Montana,2017,249254902,38076,361,1.0429362880886426,6827.318580727449
Nebraska,2017,753553849,76899,361,1.0429362880886426,10220.011367520638
Nevada,2017,570958220,69104,361,1.0429362880886426,8617.056127293623
New Hampshire,2017,125200059,38156,361,1.0429362880886426,3422.1533913916305
New Jersey,2017,2083569000,266194,361,1.0429362880886426,8163.330949745543
New Mexico,2017,854808000,89020,361,1.0429362880886426,10014.718968192275
New York,2017,5735095034,549948,361,1.0429362880886426,10876.189615373758
North Carolina,2017,3982126724,389604,361,1.0429362880886426,10659.809612393987
North Dakota,2017,419650340,35743,361,1.0429362880886426,12244.875021535318
Ohio,2017,2303647976,390840,361,1.0429362880886426,6147.165257272424
Oklahoma,2017,863204515,133682,361,1.0429362880886426,6734.394404149078
Oregon,2017,816722620,144148,361,1.0429362880886426,5909.132681000297
Pennsylvania,2017,1693108000,348672,361,1.0429362880886426,5064.3693008133305
Rhode Island,2017,188739813,30246,361,1.0429362880886426,6508.08701926749
South Carolina,2017,1094964380,167414.21,361,1.0429362880886426,6821.273331973922
South Dakota,2017,238612300,32294.9,361,1.0429362880886426,7705.780988772023
Tennessee,2017,1732289377,185512.91,361,1.0429362880886426,9738.769408251788
Texas,2017,7614429799,1034453,361,1.0429362880886426,7676.873816868054
Utah,2017,978663600,123075,361,1.0429362880886426,8293.185311976178
Vermont,2017,93158125,20662,361,1.0429362880886426,4702.254820094752
Virginia,2017,2051845077,305307,361,1.0429362880886426,7009.153698864864
Washington,2017,1878116000,239481,361,1.0429362880886426,8179.167990946627
West Virginia,2017,484109151,69938.5,361,1.0429362880886426,7219.128248013386
Wisconsin,2017,1473947300,213143,361,1.0429362880886426,7212.214925661537
Wyoming,2017,382164128,23300,361,1.0429362880886426,17106.130347508708
U.S.,2017,86510939069,10987505.58,361,1.0429362880886426,8211.636118385079
District of Columbia,2017,76680000,3239,361,1.0429362880886426,24690.445992787005
Alabama,2016,1495279091,195536,353.4,1.0653650254668932,8146.929705339823
Alaska,2016,377066698,19268.9,353.4,1.0653650254668932,20847.773994233572
Arizona,2016,822244800,279239,353.4,1.0653650254668932,3137.064852302223
Arkansas,2016,989276907,117110,353.4,1.0653650254668932,8999.581736998243
California,2016,13142680906,1530131,353.4,1.0653650254668932,9150.688782936846
Colorado,2016,866407921,180264,353.4,1.0653650254668932,5120.493813633798
Connecticut,2016,1218285527,85705,353.4,1.0653650254668932,15144.026503684761
Delaware,2016,230005700,36472,353.4,1.0653650254668932,6718.579415387985
Florida,2016,4367744693,598660,353.4,1.0653650254668932,7772.76323136811
Georgia,2016,3044261694,345645,353.4,1.0653650254668932,9383.181984857865
Hawaii,2016,603948055,38414,353.4,1.0653650254668932,16749.756208563427
Idaho,2016,419045700,52744,353.4,1.0653650254668932,8464.216457839604
Illinois,2016,3350027230,342422,353.4,1.0653650254668932,10422.817007095733
Indiana,2016,1739630019,249925.48,353.4,1.0653650254668932,7415.574352382586
Iowa,2016,849068059,126165,353.4,1.0653650254668932,7169.717546860545
Kansas,2016,766842487,135366,353.4,1.0653650254668932,6035.246411150884
Kentucky,2016,1177003850,149314,353.4,1.0653650254668932,8397.998423656732
Louisiana,2016,1179534783,167896.09,353.4,1.0653650254668932,7484.600172224865
Maine,2016,285491133,34604,353.4,1.0653650254668932,8789.511853517432
Maryland,2016,1868491878,234124,353.4,1.0653650254668932,8502.442710658253
Massachusetts,2016,1493700338,169189,353.4,1.0653650254668932,9405.671164397667
Michigan,2016,1825523600,380128,353.4,1.0653650254668932,5116.300289913962
Minnesota,2016,1532825000,193197,353.4,1.0653650254668932,8452.606123083124
Mississippi,2016,1038807427,128728,353.4,1.0653650254668932,8597.26788982236
Missouri,2016,1035360643,192781,353.4,1.0653650254668932,5721.71021935312
Montana,2016,259866199,37954,353.4,1.0653650254668932,7294.4184991205075
Nebraska,2016,747592380,76442,353.4,1.0653650254668932,10419.125283974194
Nevada,2016,538609215,68959,353.4,1.0653650254668932,8321.109935689008
New Hampshire,2016,123921071,36640,353.4,1.0653650254668932,3603.198006599336
New Jersey,2016,2068260000,268296,353.4,1.0653650254668932,8212.764512225887
New Mexico,2016,911915500,93379,353.4,1.0653650254668932,10404.083143759888
New York,2016,5602512841,556098,353.4,1.0653650254668932,10733.218309597518
North Carolina,2016,3829383471,388322,353.4,1.0653650254668932,10505.949235697217
North Dakota,2016,405723652,36165,353.4,1.0653650254668932,11951.991949274185
Ohio,2016,2226256398,388777,353.4,1.0653650254668932,6100.6070424719155
Oklahoma,2016,927345547,134960,353.4,1.0653650254668932,7320.402432544939
Oregon,2016,775829437,144148,353.4,1.0653650254668932,5733.9786046804
Pennsylvania,2016,1647532000,350435,353.4,1.0653650254668932,5008.697678991885
Rhode Island,2016,179842845,30757,353.4,1.0653650254668932,6229.4202016927375
South Carolina,2016,1026089319,171202.4,353.4,1.0653650254668932,6385.188954522495
South Dakota,2016,218328634,33674.5,353.4,1.0653650254668932,6907.294561806768
Tennessee,2016,1639925353,185543.04,353.4,1.0653650254668932,9416.247116909632
Texas,2016,7435341813,1020366,353.4,1.0653650254668932,7763.246834921783
Utah,2016,933251500,122066,353.4,1.0653650254668932,8145.212492131439
Vermont,2016,91722391,20447,353.4,1.0653650254668932,4779.078956502144
Virginia,2016,1861817203,310368,353.4,1.0653650254668932,6390.848708271455
Washington,2016,1770882000,240788,353.4,1.0653650254668932,7835.256520378352
West Virginia,2016,486264899,71026,353.4,1.0653650254668932,7293.802501996329
Wisconsin,2016,1471162500,217856,353.4,1.0653650254668932,7194.316770152936
Wyoming,2016,419149337,23811.9,353.4,1.0653650254668932,18753.104291863998
U.S.,2016,83317079644,11011509.31,353.4,1.0653650254668932,8060.938803016571
District of Columbia,2016,71942472,4041,353.4,1.0653650254668932,18966.838286174523
Alabama,2015,1468403494,193411,348.9,1.0791057609630268,8192.722594855708
Alaska,2015,400282627,19933.5,348.9,1.0791057609630268,21669.415246149165
Arizona,2015,937489700,274454,348.9,1.0791057609630268,3686.047702396393
Arkansas,2015,991233464,118408,348.9,1.0791057609630268,9033.559738039128
California,2015,12282188862,1539822,348.9,1.0791057609630268,8607.346016760457
Colorado,2015,778730431,181867,348.9,1.0791057609630268,4620.5880909088555
Connecticut,2015,1121039850,87403,348.9,1.0791057609630268,13840.72126133116
Delaware,2015,226594100,36742,348.9,1.0791057609630268,6655.026909537646
Florida,2015,4219826590,601198,348.9,1.0791057609630268,7574.275336135456
Georgia,2015,2903195634,344325,348.9,1.0791057609630268,9098.541011695657
Hawaii,2015,573459205,39444,348.9,1.0791057609630268,15688.650537287735
Idaho,2015,401454400,54102,348.9,1.0791057609630268,8007.3149939735185
Illinois,2015,4385575551,351917,348.9,1.0791057609630268,13447.772748184088
Indiana,2015,1648510778,252802.16,348.9,1.0791057609630268,7036.796986028289
Iowa,2015,847741404,124883,348.9,1.0791057609630268,7325.277522667495
Kansas,2015,803124160,137035,348.9,1.0791057609630268,6324.339824311976
Kentucky,2015,1175369768,152317,348.9,1.0791057609630268,8327.030389979953
Louisiana,2015,1120321587,165329,348.9,1.0791057609630268,7312.361888494703
Maine,2015,272341674,35445,348.9,1.0791057609630268,8291.30961669388
Maryland,2015,1791980404,233207.53,348.9,1.0791057609630268,8291.912261534831
Massachusetts,2015,1462827301,170703,348.9,1.0791057609630268,9247.320596609876
Michigan,2015,1784194800,390047,348.9,1.0791057609630268,4936.161250721773
Minnesota,2015,1445822000,198328,348.9,1.0791057609630268,7866.740195671238
Mississippi,2015,1009235634,129478,348.9,1.0791057609630268,8411.251230468286
Missouri,2015,1031361067,186936,348.9,1.0791057609630268,5953.629418799344
Montana,2015,239403026,38732,348.9,1.0791057609630268,6669.967586196976
Nebraska,2015,717028058,78469,348.9,1.0791057609630268,9860.570520331994
Nevada,2015,487293554,66924,348.9,1.0791057609630268,7857.290081309363
New Hampshire,2015,123155000,38398,348.9,1.0791057609630268,3461.0466688734195
New Jersey,2015,1990469000,270053,348.9,1.0791057609630268,7953.722287544722
New Mexico,2015,902205600,96110,348.9,1.0791057609630268,10129.801899210323
New York,2015,5529283919,566235,348.9,1.0791057609630268,10537.466124476803
North Carolina,2015,3667947179,391990,348.9,1.0791057609630268,10097.458944786813
North Dakota,2015,409693640,36801,348.9,1.0791057609630268,12013.335701581815
Ohio,2015,2133970812,393845,348.9,1.0791057609630268,5846.91997348233
Oklahoma,2015,1054794860,136311,348.9,1.0791057609630268,8350.281415734527
Oregon,2015,670692530,149100,348.9,1.0791057609630268,4854.1124946872405
Pennsylvania,2015,1658992000,354891,348.9,1.0791057609630268,5044.444138035548
Rhode Island,2015,172470788,31547,348.9,1.0791057609630268,5899.585409979803
South Carolina,2015,970219549,174642.98,348.9,1.0791057609630268,5994.913192186996
South Dakota,2015,217442912,33937.6,348.9,1.0791057609630268,6913.9803350789825
Tennessee,2015,1579203336,185315.69,348.9,1.0791057609630268,9195.807530434313
Texas,2015,6849320087,1010334,348.9,1.0791057609630268,7315.541954008753
Utah,2015,887761300,120352,348.9,1.0791057609630268,7959.8871077341955
Vermont,2015,91247843,20639,348.9,1.0791057609630268,4770.874221461785
Virginia,2015,1809791006,314066,348.9,1.0791057609630268,6218.297748605935
Washington,2015,1580750000,242221,348.9,1.0791057609630268,7042.314380843546
West Virginia,2015,509752932,72765,348.9,1.0791057609630268,7559.641662736123
Wisconsin,2015,1601240683,219490,348.9,1.0791057609630268,7872.3770819339
Wyoming,2015,376989173,24041.3,348.9,1.0791057609630268,16921.347364950612
U.S.,2015,81313423272,11086747.76,348.9,1.0791057609630268,7914.474595788968
District of Columbia,2015,73457573,3723,348.9,1.0791057609630268,21291.563312023125
Alabama,2014,1444764352,194439,348.3,1.0809646856158484,8032.026720712742
Alaska,2014,399052668,20483.94,348.3,1.0809646856158484,21058.5386311806
Arizona,2014,897579300,270127,348.3,1.0809646856158484,3591.8346771696024
Arkansas,2014,1001496233,121365,348.3,1.0809646856158484,8920.051585303023
California,2014,10765415955,1517902,348.3,1.0809646856158484,7666.52555522057
Colorado,2014,677086916,184836,348.3,1.0809646856158484,3959.764576643859
Connecticut,2014,1026156341,88681,348.3,1.0809646856158484,12508.189652143912
Delaware,2014,227606200,35657,348.3,1.0809646856158484,6900.027047346044
Florida,2014,3925291450,608226,348.3,1.0809646856158484,6976.192136146478
Georgia,2014,2790040144,347733,348.3,1.0809646856158484,8673.133890411771
Hawaii,2014,530388306,40436,348.3,1.0809646856158484,14178.727580611643
Idaho,2014,374642100,56177,348.3,1.0809646856158484,7208.908981343988
Illinois,2014,4306995896,362508,348.3,1.0809646856158484,12843.055779923172
Indiana,2014,1663061249,253336.69,348.3,1.0809646856158484,7096.131555935246
Iowa,2014,823333019,127407,348.3,1.0809646856158484,6985.439717130787
Kansas,2014,771121325,138310,348.3,1.0809646856158484,6026.7147758679885
Kentucky,2014,1194587857,154782,348.3,1.0809646856158484,8342.748428644902
Louisiana,2014,1125250832,168001.19,348.3,1.0809646856158484,7240.165452708113
Maine,2014,271864121,36577,348.3,1.0809646856158484,8034.434592421301
Maryland,2014,1721006820,232934.64,348.3,1.0809646856158484,7986.564798280027
Massachusetts,2014,1342072529,172573.9,348.3,1.0809646856158484,8406.445061415148
Michigan,2014,1669524700,400859,348.3,1.0809646856158484,4502.074900310068
Minnesota,2014,1394503000,203523,348.3,1.0809646856158484,7406.575654768048
Mississippi,2014,973846876,130436,348.3,1.0809646856158484,8070.579304435248
Missouri,2014,954236519,196831,348.3,1.0809646856158484,5240.515867744392
Montana,2014,227006121,39484,348.3,1.0809646856158484,6214.81106827166
Nebraska,2014,688183035,79704,348.3,1.0809646856158484,9333.302695911565
Nevada,2014,485640591,64497,348.3,1.0809646856158484,8139.298397950443
New Hampshire,2014,109000000,36988,348.3,1.0809646856158484,3185.49666735502
New Jersey,2014,1990469000,274341,348.3,1.0809646856158484,7842.891499313235
New Mexico,2014,856215012,98630,348.3,1.0809646856158484,9383.941916923348
New York,2014,5306812959,565719,348.3,1.0809646856158484,10140.153330270938
North Carolina,2014,3617627709,402199,348.3,1.0809646856158484,9722.868030836393
North Dakota,2014,409693640,36927,348.3,1.0809646856158484,11992.96874269268
Ohio,2014,2104931061,401856,348.3,1.0809646856158484,5662.11812837658
Oklahoma,2014,1053566920,145401,348.3,1.0809646856158484,7832.6052396686255
Oregon,2014,631121950,155418,348.3,1.0809646856158484,4389.585120558823
Pennsylvania,2014,1644692000,358693,348.3,1.0809646856158484,4956.478020800241
Rhode Island,2014,167567862,31506,348.3,1.0809646856158484,5749.220506130573
South Carolina,2014,909110205,174816.45,348.3,1.0809646856158484,5621.41621648297
South Dakota,2014,207837626,33658.9,348.3,1.0809646856158484,6674.761624658984
Tennessee,2014,1587786604,190485.4,348.3,1.0809646856158484,9010.355897186428
Texas,2014,6948653093,1010936,348.3,1.0809646856158484,7429.994189670105
Utah,2014,798346200,119692,348.3,1.0809646856158484,7210.039510540447
Vermont,2014,92686200,20903,348.3,1.0809646856158484,4793.1162533573
Virginia,2014,1780468378,318166,348.3,1.0809646856158484,6049.117254746671
Washington,2014,1570807000,245011,348.3,1.0809646856158484,6930.247600794143
West Virginia,2014,516276320,76202,348.3,1.0809646856158484,7323.645966506222
Wisconsin,2014,1114018800,223777,348.3,1.0809646856158484,5381.317033976435
Wyoming,2014,352669707,24986,348.3,1.0809646856158484,15257.484149263122
U.S.,2014,77442112701,11194139.11,348.3,1.0809646856158484,7478.2158937511695
District of Columbia,2014,66690620,3894.6,348.3,1.0809646856158484,18510.297612547118
Alabama,2013,1406898493,197110,342.5,1.0992700729927007,7846.1844101944635
Alaska,2013,382098776,21150.62,342.5,1.0992700729927007,19858.980464116023
Arizona,2013,858893000,270644,342.5,1.0992700729927007,3488.550903781055
Arkansas,2013,1015018606,124157,342.5,1.0992700729927007,8986.843892060611
California,2013,9377928000,1501945,342.5,1.0992700729927007,6863.683821365158
Colorado,2013,638253447,188405,342.5,1.0992700729927007,3723.9612179694427
Connecticut,2013,887382687,87810,342.5,1.0992700729927007,11108.908223561655
Delaware,2013,216492700,34715,342.5,1.0992700729927007,6855.363564205297
Florida,2013,3338709069,619179,342.5,1.0992700729927007,5927.434493064238
Georgia,2013,2624294318,354989,342.5,1.0992700729927007,8126.472106184106
Hawaii,2013,526179654,41094,342.5,1.0992700729927007,14075.377102736507
Idaho,2013,360070800,57837,342.5,1.0992700729927007,6843.630454528073
Illinois,2013,4292588457,373403,342.5,1.0992700729927007,12637.054406242089
Indiana,2013,1557306211,256330.62,342.5,1.0992700729927007,6678.484654849102
Iowa,2013,787419692,129669,342.5,1.0992700729927007,6675.357273525129
Kansas,2013,795346375,140182,342.5,1.0992700729927007,6236.895376729751
Kentucky,2013,1187665803,155586,342.5,1.0992700729927007,8391.278610895226
Louisiana,2013,1174061988,174552,342.5,1.0992700729927007,7393.849438830351
Maine,2013,265872234,37342,342.5,1.0992700729927007,7826.720316959789
Maryland,2013,1617306184,238813.85,342.5,1.0992700729927007,7444.527555404456
Massachusetts,2013,1255182474,171974.4,342.5,1.0992700729927007,8023.19723059443
Michigan,2013,1608824500,411770,342.5,1.0992700729927007,4294.952584082001
Minnesota,2013,1285247000,210332,342.5,1.0992700729927007,6717.159364735988
Mississippi,2013,924952654,132114,342.5,1.0992700729927007,7696.177327742497
Missouri,2013,931239665,196659,342.5,1.0992700729927007,5205.375266416732
Montana,2013,202187817,40169,342.5,1.0992700729927007,5533.098069452185
Nebraska,2013,659571367,81175,342.5,1.0992700729927007,8931.901013193537
Nevada,2013,472368017,65917,342.5,1.0992700729927007,7877.48266042155
New Hampshire,2013,85622352,39224,342.5,1.0992700729927007,2399.604556721566
New Jersey,2013,1888439000,276052,342.5,1.0992700729927007,7519.976226842271
New Mexico,2013,832616879,101239,342.5,1.0992700729927007,9040.693975180362
New York,2013,5111538235,571693,342.5,1.0992700729927007,9828.633565031287
North Carolina,2013,3751478952,410622,342.5,1.0992700729927007,10043.028725678654
North Dakota,2013,343805783,37122,342.5,1.0992700729927007,10180.90103371916
Ohio,2013,2050123177,400796,342.5,1.0992700729927007,5622.908049044446
Oklahoma,2013,1044735666,144138,342.5,1.0992700729927007,7967.688269726913
Oregon,2013,580701607,160939,342.5,1.0992700729927007,3966.396572079289
Pennsylvania,2013,1632655000,364468,342.5,1.0992700729927007,4924.242405429003
Rhode Island,2013,164566569,31699,342.5,1.0992700729927007,5706.902562124619
South Carolina,2013,910405772,178240.09,342.5,1.0992700729927007,5614.796421161009
South Dakota,2013,196229662,32945,342.5,1.0992700729927007,6547.56093094773
Tennessee,2013,1455168883,196096.8,342.5,1.0992700729927007,8157.316204201786
Texas,2013,6351228175,1019173,342.5,1.0992700729927007,6850.3728606679615
Utah,2013,748759000,123851,342.5,1.0992700729927007,6645.795032611296
Vermont,2013,89340755,21259,342.5,1.0992700729927007,4619.672527873982
Virginia,2013,1712075324,320481,342.5,1.0992700729927007,5872.5265035446155
Washington,2013,1407137000,248273,342.5,1.0992700729927007,6230.3335147226235
West Virginia,2013,550588678,78458,342.5,1.0992700729927007,7714.26312490778
Wisconsin,2013,1163226571,229463,342.5,1.0992700729927007,5572.576657719193
Wyoming,2013,383533411,25669,342.5,1.0992700729927007,16424.745829798958
U.S.,2013,73103336439,11326925.38,342.5,1.0992700729927007,7094.626943089254
District of Columbia,2013,75404620,3945.3,342.5,1.0992700729927007,21009.819818869757
Alabama,2012,1494583181,206364,337.5,1.1155555555555556,8079.367383867557
Alaska,2012,365632349,21673.63,337.5,1.1155555555555556,18819.33013610446
Arizona,2012,839490800,275238,337.5,1.1155555555555556,3402.50483500744
Arkansas,2012,1018182219,124426,337.5,1.1155555555555556,9128.629313594694
California,2012,9146297000,1541159,337.5,1.1155555555555556,6620.473572883208
Colorado,2012,645120743,192541,337.5,1.1155555555555556,3737.7391249540506
Connecticut,2012,949946216,85683,337.5,1.1155555555555556,12367.888364527127
Delaware,2012,213193700,34672,337.5,1.1155555555555556,6859.408642260165
Florida,2012,3622861769,641446,337.5,1.1155555555555556,6300.613883971181
Georgia,2012,2709389686,379004,337.5,1.1155555555555556,7974.783158969886
Hawaii,2012,522410826,40883,337.5,1.1155555555555556,14254.783142789587
Idaho,2012,333669600,58980,337.5,1.1155555555555556,6311.071142760257
Illinois,2012,3832385769,384614.72,337.5,1.1155555555555556,11115.64122049203
Indiana,2012,1551918210,262545.81,337.5,1.1155555555555556,6594.091069034137
Iowa,2012,740351670,132423,337.5,1.1155555555555556,6236.857785530711
Kansas,2012,752992878,141354,337.5,1.1155555555555556,5942.565391475775
Kentucky,2012,1235520771,159306,337.5,1.1155555555555556,8651.852787047152
Louisiana,2012,1237070397,181589.28,337.5,1.1155555555555556,7599.681842378948
Maine,2012,270884116,37897,337.5,1.1155555555555556,7973.88396220164
Maryland,2012,1606876744,242955,337.5,1.1155555555555556,7378.157596518789
Massachusetts,2012,1208206572,170220.7,337.5,1.1155555555555556,7918.0825460906535
Michigan,2012,1549732500,423785,337.5,1.1155555555555556,4079.4570359970276
Minnesota,2012,1285041000,214653,337.5,1.1155555555555556,6678.381511866439
Mississippi,2012,954183795,137888,337.5,1.1155555555555556,7719.635019242671
Missouri,2012,933329405,196360,337.5,1.1155555555555556,5302.407837192459
Montana,2012,202105316,40847,337.5,1.1155555555555556,5519.614857177054
Nebraska,2012,650437323,83861,337.5,1.1155555555555556,8652.400629772283
Nevada,2012,473148326,65238,337.5,1.1155555555555556,8090.733064641944
New Hampshire,2012,82697778,39099,337.5,1.1155555555555556,2359.4968075909874
New Jersey,2012,1998300000,278868,337.5,1.1155555555555556,7993.798738710311
New Mexico,2012,804674067,97719,337.5,1.1155555555555556,9186.121694382191
New York,2012,4854239173,577136,337.5,1.1155555555555556,9382.837801550337
North Carolina,2012,3578659248,412349,337.5,1.1155555555555556,9681.588182696374
North Dakota,2012,343964303,37503,337.5,1.1155555555555556,10231.482524716543
Ohio,2012,2013731126,423509,337.5,1.1155555555555556,5304.3239813190385
Oklahoma,2012,1042592350,146518,337.5,1.1155555555555556,7938.066914796969
Oregon,2012,566031614,165094,337.5,1.1155555555555556,3824.7284069546913
Pennsylvania,2012,1639540000,369046,337.5,1.1155555555555556,4956.01620273775
Rhode Island,2012,181651066,31729,337.5,1.1155555555555556,6386.644894225753
South Carolina,2012,859516750,173447.59,337.5,1.1155555555555556,5528.117661107633
South Dakota,2012,181016376,33540,337.5,1.1155555555555556,6020.686460743392
Tennessee,2012,1414996174,201734.7,337.5,1.1155555555555556,7824.666966047763
Texas,2012,6474261279,1013647,337.5,1.1155555555555556,7125.161064854596
Utah,2012,728922600,126594,337.5,1.1155555555555556,6423.319083052909
Vermont,2012,90109661,21791,337.5,1.1155555555555556,4613.020647871956
Virginia,2012,1624026722,325517,337.5,1.1155555555555556,5565.583462915233
Washington,2012,1361782000,253902,337.5,1.1155555555555556,5983.188299247567
West Virginia,2012,545167484,80193,337.5,1.1155555555555556,7583.761868048889
Wisconsin,2012,1107423602,233284,337.5,1.1155555555555556,5295.659160355809
Wyoming,2012,337988717,26174,337.5,1.1155555555555556,14405.333191886775
U.S.,2012,72176254971,11546001.43,337.5,1.1155555555555556,6973.550341236476
District of Columbia,2012,67362122,4033.7,337.5,1.1155555555555556,18629.593036445724
Alabama,2011,1543660595,212758,330.5,1.1391830559757943,8265.31549460661
Alaska,2011,349617103,21089.83,330.5,1.1391830559757943,18884.83121091749
Arizona,2011,1102212700,275071,330.5,1.1391830559757943,4564.719770245978
